t,sat_id,zenith_deg,gamma0,mu_s,beta_s,psift_s,qber_s,eve_s,rnorm_s,secure_s,mu_opt,beta_opt,psift_opt,qber_opt,eve_opt,rnorm_opt,secure_opt
1055,3,38.9934,0.540792,0.5,3,0.00160523,0.129432,0.463431,0.000706719,0,0.95,0.3,0.477921,0.198133,0.430847,0.128073,0
1060,3,41.3979,0.454712,0.5,3,0.00166931,0.169989,0.466882,0.000566152,0,0.95,0.3,0.50727,0.245037,0.437324,0.0940063,0
1065,3,43.6781,0.379913,0.5,3,0.00174683,0.212076,0.47029,0.000440235,0,0.95,0.307,0.533504,0.287519,0.443733,0.0668748,0
1070,3,45.8362,0.315709,0.5,3,0.00183363,0.253178,0.473585,0.000333186,0,0.95,0.384,0.514941,0.318095,0.449943,0.0465815,0
1075,3,47.8766,0.261151,0.5,3,0.00192522,0.291426,0.476712,0.000246195,0,0.95,0.44,0.505995,0.346794,0.455845,0.0319761,0
1080,3,49.8043,0.215171,0.5,3,0.00201736,0.325718,0.47963,0.000178156,0,0.95,0.496,0.493824,0.371442,0.461361,0.0216864,0
1085,3,51.6254,0.176684,0.5,3,0.00210654,0.355624,0.482314,0.000126616,0,0.95,0.538,0.48725,0.393248,0.466438,0.014561,0
1090,3,53.3459,0.144646,0.5,3,0.00219016,0.381184,0.484748,8.86025e-05,0,0.95,0.58,0.477889,0.411521,0.47105,0.00969552,0
1095,3,54.9722,0.118101,0.5,3,0.00226654,0.402712,0.486932,6.11794e-05,0,0.95,0.622,0.466086,0.426767,0.475188,0.00641026,0
1100,3,56.5105,0.09619,0.5,3,0.00233483,0.420655,0.488869,4.17581e-05,0,0.95,0.65,0.460661,0.43994,0.478863,0.00421224,0
1105,3,57.9666,0.0781634,0.5,3,0.00239481,0.435498,0.490573,2.82149e-05,0,0.95,0.678,0.453378,0.450796,0.482096,0.00275287,0
1110,3,59.3464,0.0633735,0.5,3,0.00244672,0.44771,0.492058,1.88932e-05,0,0.95,0.706,0.444549,0.459733,0.484915,0.00179016,0
1150,4,59.2567,0.0642699,0.5,3,0.0024435,0.446969,0.491966,1.941e-05,0,0.95,0.706,0.44407,0.459146,0.48474,0.0018425,0
1155,4,58.0028,0.0777483,0.5,3,0.00239623,0.435841,0.490613,2.79306e-05,0,0.95,0.678,0.4536,0.451066,0.482173,0.00272297,0
1160,4,56.6989,0.0937111,0.5,3,0.00234287,0.422692,0.489097,3.97603e-05,0,0.95,0.65,0.461978,0.44155,0.479296,0.00399281,0
1165,4,55.3449,0.112512,0.5,3,0.00228349,0.407275,0.487413,5.59345e-05,0,0.95,0.622,0.469025,0.430392,0.476102,0.0058053,0
1170,4,53.9411,0.134517,0.5,3,0.00221851,0.389366,0.485562,7.76679e-05,0,0.95,0.594,0.474579,0.417377,0.472592,0.00836169,0
1175,4,52.4891,0.160083,0.5,3,0.00214875,0.368803,0.48355,0.0001063,0,0.95,0.566,0.478515,0.402299,0.46878,0.0119179,0
1180,4,50.9916,0.189537,0.5,3,0.00207545,0.345529,0.48139,0.000143182,0,0.95,0.524,0.489366,0.385891,0.464691,0.0167869,0
1185,4,49.4534,0.223138,0.5,3,0.00200033,0.319656,0.479104,0.000189497,0,0.95,0.482,0.498533,0.367408,0.460365,0.0233322,0
