cluster_id,gA,sA,wA,N,g_mean,g_min,s_mean,d_eve,mu,chi,beta_A,rate_opt,nfeas_opt
207,1.77423,0.117032,27.5848,2,1.75303,1.72601,0.117311,35.3318,0.95,0.5,1.6125,8.87635e+06,2
208,1.79612,0.116751,27.5126,2,1.77136,1.76899,0.117069,31.6136,0.95,0.5,1.6125,8.89891e+06,2
209,1.70768,0.117911,27.811,2,1.65102,1.64431,0.118692,30.8272,0.95,0.5,1.6125,8.54205e+06,2
210,1.71837,0.117767,27.7739,2,1.63252,1.6169,0.118955,40.1194,0.95,0.5,1.6125,8.60379e+06,2
211,1.7924,0.116799,27.5248,3,1.77662,1.76686,0.117002,36.1449,0.95,1,1.6125,1.20713e+07,3
212,1.78174,0.116935,27.56,2,1.74141,1.73719,0.117461,41.3935,0.95,0.5,1.6125,8.88505e+06,2
213,1.79389,0.11678,27.5199,3,1.75683,1.75499,0.117258,39.4069,0.95,1,1.6125,1.20477e+07,3
214,1.78559,0.116886,27.5472,2,1.77888,1.77173,0.116972,39.2564,0.95,0.5,1.6125,8.95076e+06,2
215,1.74339,0.117435,27.6883,4,1.71697,1.6921,0.117788,25.1576,0.95,1,1.6125,1.40848e+07,4
216,1.78604,0.11688,27.5458,3,1.77615,1.75173,0.117008,28.4868,0.95,1,1.6125,1.18532e+07,3
217,1.79307,0.11679,27.5226,4,1.78647,1.77191,0.116875,35.1214,0.95,1,1.6125,1.50146e+07,4
218,1.798,0.116727,27.5065,2,1.79962,1.79927,0.116707,41.5029,0.95,0.5,1.6125,9.0082e+06,2
219,1.776,0.117009,27.579,2,1.76136,1.74358,0.1172,30.6885,0.95,0.5,1.6125,8.82749e+06,2
220,1.78527,0.11689,27.5483,2,1.76754,1.75523,0.117119,41.9301,0.95,0.5,1.6125,8.93403e+06,2
221,1.79825,0.116724,27.5057,2,1.76314,1.75301,0.117176,25.8707,0.95,0.5,1.6125,8.60959e+06,2
222,1.79485,0.116767,27.5168,2,1.77679,1.76194,0.117,38.0339,0.95,0.5,1.6125,8.96079e+06,2
223,1.76775,0.117116,27.6064,2,1.76984,1.76396,0.117089,27.7281,0.95,0.5,1.6125,8.7079e+06,2
224,1.7623,0.117187,27.6246,4,1.70592,1.68507,0.117936,38.2566,0.95,1,1.6125,1.47693e+07,4
225,1.77764,0.116988,27.5735,4,1.74798,1.71724,0.117376,23.1092,0.95,1,1.6125,1.37932e+07,4
226,1.7636,0.11717,27.6203,3,1.7119,1.68033,0.117858,33.6317,0.95,1,1.6125,1.18547e+07,3
227,1.7375,0.117512,27.7084,4,1.73806,1.70327,0.117507,40.4655,0.95,1,1.6125,1.47763e+07,4
228,1.79491,0.116767,27.5166,3,1.79572,1.79314,0.116756,33.4626,0.95,1,1.6125,1.20873e+07,3
229,1.71935,0.117754,27.7705,2,1.64411,1.62843,0.11879,34.9267,0.95,0.5,1.6125,8.60704e+06,2
230,1.74948,0.117354,27.6677,2,1.69215,1.66959,0.118124,32.8366,0.95,0.5,1.6125,8.71283e+06,2
231,1.78313,0.116917,27.5554,4,1.75097,1.71614,0.11734,23.8715,0.95,1,1.6125,1.3997e+07,4
232,1.75654,0.117262,27.644,4,1.72578,1.69171,0.11767,35.2731,0.95,1,1.6125,1.47778e+07,4
233,1.78991,0.11683,27.533,2,1.76331,1.7397,0.117176,40.2931,0.95,0.5,1.6125,8.93387e+06,2
234,1.77912,0.116969,27.5686,2,1.77783,1.76864,0.116986,22.9464,0.95,0.5,1.6125,8.24189e+06,2
235,1.71096,0.117867,27.7995,4,1.67848,1.65216,0.118311,24.3786,0.95,1,1.6125,1.37864e+07,4
236,1.7279,0.11764,27.7412,3,1.67094,1.64951,0.118418,41.6245,0.95,1,1.6125,1.17351e+07,3
237,1.77362,0.11704,27.5869,2,1.73712,1.70791,0.117521,22.4309,0.95,0.5,1.6125,8.08964e+06,2
238,1.77467,0.117026,27.5834,2,1.7252,1.71362,0.117676,40.1247,0.95,0.5,1.6125,8.84576e+06,2
239,1.7584,0.117238,27.6377,4,1.74286,1.73336,0.117442,31.0136,0.95,1,1.6125,1.4726e+07,4
240,1.78655,0.116874,27.5441,4,1.76382,1.74969,0.117168,41.4654,0.95,1,1.6125,1.4973e+07,4
241,1.7959,0.116754,27.5134,2,1.76312,1.75988,0.117176,24.9119,0.95,0.5,1.6125,8.50922e+06,2
242,1.78522,0.116891,27.5485,2,1.74398,1.72814,0.117428,39.2071,0.95,0.5,1.6125,8.89293e+06,2
243,1.74069,0.11747,27.6975,4,1.69896,1.67287,0.118031,25.9548,0.95,1,1.6125,1.41643e+07,4
244,1.76614,0.117137,27.6118,3,1.71926,1.71059,0.117755,22.1405,0.95,1,1.6125,1.08074e+07,3
245,1.77105,0.117073,27.5954,3,1.77232,1.76114,0.117057,36.7072,0.95,1,1.6125,1.20172e+07,3
246,1.74217,0.117451,27.6925,2,1.70593,1.69113,0.117936,24.2205,0.95,0.5,1.6125,8.26408e+06,2
247,1.75436,0.11729,27.6513,3,1.73768,1.72038,0.117511,27.9146,0.95,1,1.6125,1.16702e+07,3
248,1.75913,0.117228,27.6352,2,1.76952,1.76832,0.117093,39.2008,0.95,0.5,1.6125,8.89053e+06,2
249,1.79549,0.116759,27.5147,2,1.78285,1.7739,0.116921,30.2049,0.95,0.5,1.6125,8.88148e+06,2
