t,sat_id,elevation_deg,zenith_deg,gamma0,sigma_X,w_eq,p_sift,qber,eve_error,secure
1560,5,49.6206,40.3794,0.490314,0.149763,36.1,0.0016399,0.152204,0.465399,0
1565,5,47.2097,42.7903,0.408205,0.154979,37.4738,0.00171479,0.195407,0.468951,0
1570,5,44.9413,45.0587,0.33808,0.160494,38.9307,0.001801,0.238354,0.472394,0
1575,5,42.8077,47.1923,0.278773,0.166296,40.4685,0.00189366,0.278762,0.475665,0
1580,5,40.8005,49.1995,0.229013,0.172378,42.0857,0.00198806,0.315216,0.478722,0
1585,5,38.9114,51.0886,0.187533,0.178734,43.7814,0.00208021,0.347097,0.481533,0
1590,5,37.1324,52.8676,0.153138,0.185361,45.5554,0.00216711,0.374359,0.484083,0
1595,5,35.4557,54.5443,0.124741,0.192258,47.4077,0.0022468,0.397302,0.48637,0
1600,5,33.8737,56.1263,0.10138,0.199427,49.3392,0.00231821,0.416394,0.488398,0
1605,5,32.3795,57.6205,0.0822179,0.206869,51.3513,0.00238101,0.432155,0.49018,0
1610,5,30.9666,59.0334,0.0665404,0.214591,53.4458,0.00243539,0.445093,0.491733,0
1615,-1,,,,,,,,,0
1620,-1,,,,,,,,,0
1625,-1,,,,,,,,,0
1630,-1,,,,,,,,,0
1635,-1,,,,,,,,,0
1640,-1,,,,,,,,,0
1645,6,31.0438,58.9562,0.067338,0.214151,53.3262,0.00243256,0.444435,0.491652,0
1650,6,32.3956,57.6044,0.0824093,0.206786,51.3286,0.00238036,0.431997,0.490162,0
1655,6,33.8148,56.1852,0.100572,0.199707,49.4149,0.00232078,0.417056,0.488471,0
1660,6,35.305,54.695,0.122374,0.192912,47.5836,0.00225379,0.399228,0.486569,0
1665,6,36.8692,53.1308,0.148426,0.1864,45.8339,0.00217982,0.378142,0.48445,0
1670,6,38.5105,51.4895,0.17939,0.18017,44.1654,0.00209988,0.353491,0.482117,0
1675,6,40.2307,49.7693,0.215959,0.174226,42.5783,0.00201566,0.325117,0.479578,0
1680,6,42.031,47.969,0.258823,0.168573,41.0733,0.00192954,0.293119,0.476853,0
1685,6,43.9108,46.0892,0.308616,0.163216,39.6517,0.00184454,0.257987,0.473973,0
1690,6,45.8672,44.1328,0.365839,0.158167,38.3153,0.00176411,0.220702,0.47098,0
1695,6,47.8946,42.1054,0.430761,0.153434,37.0663,0.00169167,0.18277,0.467928,0
